Shift; Sign on; Sign off; Route; Direction; Variation; Trip; DestinationSign; Stop; RouteDescription; Departure Time; Arrival Time; Ends with runoff
W1101;0510;1356;0001;02;02;0002;002;Wellington Station (Stop D) ;Island Bay - Terminus ;0545;0611;False;
W1101;0510;1356;0001;01;01;0003;004;Wellington Station (Stop A) ;Island Bay - Terminus ;0630;0702;False;
W1101;0510;1356;0001;02;02;0014;002;Wellington Station (Stop D) ;Island Bay - Terminus ;0712;0738;False;
W1101;0510;1356;0001;01;01;0021;004;Wellington Station (Stop A) ;Island Bay - Terminus ;0746;0826;False;
W1101;0510;1356;0001;02;02;0028;002;Wellington Station (Stop D) ;Island Bay - Terminus ;0837;0917;True;
W1101;0510;1356;0002;02;02;0246;014;Wellington Station (Stop D) ;Kilbirnie Shops-Rongotai Rd  ;1048;1119;False;
W1101;0510;1356;0011;01;01;0849;055;Wellington Station (Stop B} ;Seatoun Park - Hector Street ;1130;1210;False;
W1101;0510;1356;0011;02;02;0856;053;Wellington Station (Stop D) ;Seatoun Park - Hector Street ;1213;1258;False;
W1101;0510;1356;0011;01;01;0861;055;Wellington Station (Stop B} ;Kilbirnie Shops-Rongotai Rd  ;1315;1341;False;
W1102;1101;2001;0001;02;02;0058;002;Wellington Station (Stop D) ;Island Bay - Terminus ;1141;1220;False;
W1102;1101;2001;0001;01;01;0067;004;Wellington Station (Stop A) ;Island Bay - Terminus ;1228;1307;False;
W1102;1101;2001;0001;02;02;0074;002;Wellington Station (Stop D) ;Island Bay - Terminus ;1317;1356;True;
W1102;1101;2001;0009;01;01;0637;043;Wellington Station (Stop B} ;Aro Street Terminus ;1530;1551;False;
W1102;1101;2001;0009;02;02;0634;042;Wellington Station (Stop D) ;Aro Street Terminus ;1555;1615;False;
W1102;1101;2001;0009;01;01;0643;043;Wellington Station (Stop B} ;Aro Street Terminus ;1630;1651;False;
W1102;1101;2001;0009;02;02;0640;042;Wellington Station (Stop D) ;Aro Street Terminus ;1655;1715;False;
W1102;1101;2001;0002;01;01;0297;016;Wellington Station (Stop A) ;Miramar Terminus - Darlington Road ;1720;1804;False;
W1102;1101;2001;0002;02;02;0302;014;Wellington Station (Stop D) ;Miramar Terminus - Darlington Road ;1815;1854;False;
W1102;1101;2001;0002;01;01;0315;016;Wellington Station (Stop A) ;Miramar Terminus - Darlington Road ;1900;1936;True;
W1103;0527;1418;0002;02;04;0200;014;;Wellington Station ;0547;0609;False;
W1103;0527;1418;0003;01;07;1161;067;;Lambton Quay - District Court ;0610;0611;False;
W1103;0527;1418;0003;02;02;0983;064;;Courtenay Place  ;0640;0702;False;
W1103;0527;1418;0003;01;01;0992;067;;Lambton Quay - District Court ;0730;0750;False;
W1103;0527;1418;0003;02;02;1005;064;;Courtenay Place  ;0840;0907;False;
W1103;0527;1418;0002;01;01;0239;016;Wellington Station (Stop A) ;Miramar Terminus - Darlington Road ;1038;1118;False;
W1103;0527;1418;0002;02;02;0252;014;;Kilbirnie Shops - Rongotai Road  ;1121;1133;False;
W1103;0527;1418;0009;01;01;0623;043;Wellington Station (Stop B} ;Aro Street Terminus ;1215;1234;False;
W1103;0527;1418;0009;02;02;0620;042;Wellington Station (Stop D) ;Aro Street Terminus ;1240;1256;False;
W1103;0527;1418;0002;01;01;0259;016;Wellington Station (Stop A) ;Miramar Terminus - Darlington Road ;1308;1348;False;
W1103;0527;1418;0002;02;02;0272;014;;Kilbirnie Shops - Rongotai Road  ;1351;1403;False;
W1104;1116;2028;0011;01;01;0847;055;;Seatoun Park - Hector Street ;1141;1155;False;
W1104;1116;2028;0011;02;02;0854;053;Wellington Station (Stop D) ;Seatoun Park - Hector Street ;1158;1243;False;
W1104;1116;2028;0002;01;01;0257;016;Wellington Station (Stop A) ;Miramar Terminus - Darlington Road ;1253;1333;False;
W1104;1116;2028;0002;02;02;0270;014;Wellington Station (Stop D) ;Miramar Terminus - Darlington Road ;1336;1419;True;
W1104;1116;2028;0001;01;01;0099;004;Wellington Station (Stop A) ;Island Bay - Terminus ;1528;1608;False;
W1104;1116;2028;0001;02;02;0104;002;Wellington Station (Stop D) ;Island Bay - Terminus ;1622;1702;False;
W1104;1116;2028;0001;01;01;0119;004;Wellington Station (Stop A) ;Island Bay - Terminus ;1710;1750;False;
W1104;1116;2028;0001;02;02;0120;002;Wellington Station (Stop D) ;Island Bay - Terminus ;1800;1840;False;
W1104;1116;2028;0001;01;01;0145;004;Wellington Station (Stop A) ;Island Bay - Terminus ;1845;1917;False;
W1104;1116;2028;0001;02;02;0134;002;Wellington Station (Stop D) ;Island Bay - Terminus ;1920;1950;False;
W1104;1116;2028;0002;01;03;0321;018;Wellington Station (Stop A) ;Kilbirnie Shops - Bay Road ;1955;2015;True;
W1105;0535;1433;0001;02;02;0006;002;Wellington Station (Stop D) ;Island Bay - Terminus ;0623;0649;False;
W1105;0535;1433;0001;01;01;0011;004;Wellington Station (Stop A) ;Island Bay - Terminus ;0700;0732;False;
W1105;0535;1433;0001;02;02;0018;002;Wellington Station (Stop D) ;Island Bay - Terminus ;0736;0816;False;
W1105;0535;1433;0001;01;01;0027;004;Wellington Station (Stop A) ;Island Bay - Terminus ;0824;0904;False;
W1105;0535;1433;0001;02;02;0034;002;Wellington Station (Stop D) ;Island Bay - Terminus ;0914;0953;True;
